
E_true,1.75457688E+05,1.64207688E+05,1.41707688E+05,1.30457688E+05,1.19207688E+05,1.07957688E+05,9.67076875E+04
A_true,1.35456992E-51,7.61730943E-27,3.81770501E-42,5.39265137E-39,1.91338890E-57,1.07597263E-14,9.58966985E-55
n_true,26.7083073,13.2083073,18.6083069,15.9083071,24.0083065,10.5083075,29.4083061
C1_true,695019.188,684894.188,691644.188,681519.188,698394.188,688269.188,705144.188
gam1_true,8632.67676,8655.17676,8646.17676,8650.67676,8637.17676,8641.67676,8664.17676
kX1_true,1.17390611E-07,6.37918551,1.41134683E-06,3.23320903E-06,1.69681390E-14,3.19321554,3.23321291E-15
C2_true,133141.250,134041.250,132241.250,136741.250,130441.250,131341.250,135841.250
gam2_true,1439.50122,1327.00122,1102.00122,989.501221,877.001221,764.501221,652.001221
kX2_true,2.09082027E-06,8.32370461E-03,8.71599096E-05,3.02215525E-04,9.12676522E-07,2.29253854E-01,6.02999429E-07
C3_true,0,0,0,0,0,0,0
gam3_true,0,0,0,0,0,0,0
kX3_true,0,0,0,0,0,0,0
R0_true,23.4228897,39.6228905,136.822891,88.2228851,104.42289,55.8228912,72.0228882
Q1_true,369.669891,446.169891,293.169891,63.6698914,140.169907,522.669922,599.169922
b1_true,6.05459356,2.34209394,9.76709366,11.0045929,7.29209375,3.57959366,4.81709385
KR1_true,9.35609488E-08,1.15223371E-05,3.35222655E-07,5.12016122E-06,4.76020983E-08,7.18095333E-06,6.20164150E-07
